"","Bacteroides_stercoris","Bacteroides(Genus)","Faecalibacterium(Genus)","Bacteroides_massiliensis","Prevotella(Genus)","Ruminococcus_bicirculans","Blautia(Genus)","Lachnospiraceae_NK4A136_group(Genus)","Catenibacterium(Genus)","Agathobacter(Genus)","Alistipes(Genus)","Enterobacteriaceae(Family)","Escherichia-Shigella(Genus)","Succinivibrio(Genus)","Coprococcus(Genus)","Dorea(Genus)","[Eubacterium]_ruminantium_group(Genus)","Subdoligranulum(Genus)","Lachnospiraceae(Family)","Ruminococcaceae(Family)","Roseburia(Genus)","Fusicatenibacter(Genus)","[Eubacterium]_hallii_group(Genus)","Lachnospiraceae_UCG-001(Genus)","Clostridium_sensu_stricto_1(Genus)","Akkermansia(Genus)","Parabacteroides_merdae","Lachnospira(Genus)","Prevotella_stercorea","Monoglobus(Genus)","UCG-002(Genus)","Bacteroides_plebeius","Bifidobacterium(Genus)","Blautia_faecis","[Eubacterium]_siraeum_group(Genus)","Lachnospiraceae_UCG-001 Lachnospiraceae_bacterium","Parasutterella(Genus)","Erysipelotrichaceae_UCG-003(Genus)","UCG-005(Genus)","Anaerostipes(Genus)","[Ruminococcus]_torques_group(Genus)","Streptococcus(Genus)","[Eubacterium]_ventriosum_group(Genus)","Lachnoclostridium(Genus)","Ruminococcus(Genus)","Methanobrevibacter(Genus)","Incertae_Sedis(Genus)","Pasteurellaceae(Family)","Prevotella Massiliprevotella_massiliensis","Agathobacter Eubacterium_ramulus","Paraprevotella_clara","CAG-56(Genus)","Holdemanella(Genus)","Alistipes_obesi","Collinsella(Genus)","[Eubacterium]_eligens_group(Genus)","UCG-003(Genus)","Lachnospiraceae_ND3007_group(Genus)","Butyricicoccus_sp.","Butyricicoccus(Genus)","Paraprevotella(Genus)","Phascolarctobacterium(Genus)","Bilophila(Genus)","Alphaproteobacteria(Class)","Clostridia_UCG-014(Genus)","Rhodospirillales(Order)","Dialister(Genus)","[Eubacterium]_xylanophilum_group(Genus)","Christensenellaceae_R-7_group(Genus)","Sutterella(Genus)","Odoribacter_splanchnicus","Parasutterella Burkholderiales_bacterium","Alistipes_finegoldii","Anaerovibrio(Genus)","NK4A214_group(Genus)","[Eubacterium]_coprostanoligenes_group(Genus)","Lachnospiraceae_UCG-010(Genus)","Colidextribacter(Genus)","Acidaminococcus(Genus)","Megasphaera(Genus)","CAG-352(Genus)","Alistipes_inops","Clostridia_vadinBB60_group(Genus)","Epulopiscium(Genus)","Butyricimonas(Genus)","Barnesiella(Genus)","Alloprevotella(Genus)","Prevotellaceae_bacterium","Negativibacillus(Genus)","Mitsuokella(Genus)","Frisingicoccus(Genus)","Izemoplasmatales(Genus)","Romboutsia(Genus)","Ruminococcus bacterium_FB2012","Coriobacteriales_Incertae_Sedis(Family)","Oscillospiraceae(Family)","Lactococcus(Genus)","Lachnospiraceae_UCG-004(Genus)","Hungatella(Genus)","Peptococcus(Genus)","Clostridium_sensu_stricto_1 Clostridium_paraputrificum","Parabacteroides(Genus)","Lachnospiraceae_UCG-003(Genus)","Bacteroides_coprophilus","[Ruminococcus]_gnavus_group(Genus)","UBA1819(Genus)","Z20(Genus)","Oscillibacter(Genus)","Victivallis_vadensis","Desulfovibrio(Genus)","Enterorhabdus(Genus)","Anaeroplasma(Genus)","RF39(Genus)","Slackia_isoflavoniconvertens","Clostridia(Class)","Alistipes_indistinctus","[Eubacterium]_nodatum_group(Genus)","[Eubacterium]_fissicatena_group(Genus)","Oribacterium(Genus)","Anaerococcus_vaginalis","Prevotella_corporis","Erysipelatoclostridiaceae(Family)","Gastranaerophilales(Genus)","UCG-010(Genus)","Oscillospirales(Order)","Bacteroidales(Order)","Faecalitalea(Genus)","Erysipelatoclostridium [Clostridium]_spiroforme","Gastranaerophilales Acinetobacter_sp.","Wolbachia(Genus)","Hungateiclostridiaceae(Family)","Eggerthellaceae(Family)","Turicibacter(Genus)"
"103pre",0,0.0372208436724566,0.0744416873449131,0.0223325062034739,0.456575682382135,0,0.0198511166253102,0,0.0124069478908189,0,0,0,0,0.280397022332506,0.0124069478908189,0,0,0,0,0,0,0,0,0,0,0.0272952853598015,0.00744416873449132,0,0,0,0,0,0,0,0.0148883374689826,0,0,0,0.0223325062034739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124069478908189,0,0,0,0,0,0,0,0,0,0
"104pre",0,0.360665844636251,0.141800246609124,0,0,0.0388409371146732,0.0191122071516646,0.0351418002466091,0,0.0258939580764488,0,0.0351418002466091,0,0,0.0419235511713934,0.00863131935881628,0,0.0147965474722565,0.0258939580764489,0,0.0283600493218249,0.0030826140567201,0,0.0271270036991369,0,0,0.0209617755856967,0.0197287299630086,0,0.0129469790382244,0,0,0,0,0,0,0.0191122071516646,0,0,0,0,0,0,0.00493218249075216,0.0228113440197287,0,0,0,0,0,0,0,0,0,0,0.0215782983970407,0,0,0,0.00493218249075216,0,0,0.0030826140567201,0,0,0,0.0110974106041924,0.0135635018495684,0.0030826140567201,0,0,0,0.00678175092478422,0,0,0.0215782983970407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246609124537608,0,0,0,0,0,0.00123304562268804,0.00184956843403206,0,0,0,0,0,0,0,0,0.00184956843403206,0,0,0
"107pre",0.0690010298661174,0.209062821833162,0.157054582904223,0.0298661174047374,0,0.00772399588053553,0.0288362512873326,0.227085478887745,0,0,0.00772399588053553,0.00360453141091658,0,0,0,0,0,0.0082389289392379,0.0391349124613801,0,0.0247167868177137,0,0.0123583934088568,0.00669412976313079,0,0,0.00463439752832132,0.0164778578784758,0,0.0082389289392379,0,0,0.00102986611740474,0.00669412976313079,0,0.00669412976313079,0,0.00669412976313079,0,0.0082389289392379,0.0123583934088568,0,0,0.0159629248197734,0.0216271884654995,0,0,0,0,0,0,0,0.0180226570545829,0,0,0,0,0.0118434603501545,0,0,0,0,0,0,0,0,0.00926879505664264,0.00308959835221421,0,0.0108135942327497,0,0,0,0,0,0,0,0,0,0,0.00463439752832132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257466529351184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109pre",0,0.382911392405063,0.254746835443038,0,0,0,0.0316455696202532,0,0,0,0,0.0126582278481013,0,0,0,0.0126582278481013,0,0.0316455696202532,0.0363924050632911,0.0221518987341772,0.0268987341772152,0.00949367088607595,0,0,0.00474683544303797,0,0,0,0,0,0,0,0,0,0,0,0,0.00632911392405063,0,0.00949367088607595,0.0126582278481013,0,0,0.0205696202531646,0,0,0,0.0142405063291139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205696202531646,0.00949367088607595,0,0,0,0,0,0,0.0411392405063291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300632911392405,0,0,0,0.00949367088607595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111pre",0.0150375939849624,0.0729323308270676,0.121052631578947,0.00526315789473684,0.253383458646617,0.0488721804511278,0.00526315789473684,0.0676691729323308,0,0,0.0406015037593985,0,0.00526315789473684,0,0,0,0,0.043609022556391,0.0105263157894737,0.00827067669172932,0.012781954887218,0,0.0037593984962406,0.0075187969924812,0,0.0195488721804511,0.00300751879699248,0.00676691729323308,0,0,0.0345864661654135,0.00676691729323308,0.0037593984962406,0,0.0105263157894737,0,0.0037593984962406,0,0,0,0,0,0,0.00451127819548872,0,0.00451127819548872,0,0.00676691729323308,0.0180451127819549,0,0,0,0,0,0,0.00526315789473684,0.00977443609022556,0,0,0,0,0,0.00225563909774436,0,0,0.00300751879699248,0.0157894736842105,0,0.0157894736842105,0.0120300751879699,0.00225563909774436,0,0,0,0,0,0.00300751879699248,0,0,0,0,0,0.024812030075188,0,0,0.0210526315789474,0,0,0,0,0,0.00676691729323308,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0.00601503759398496,0,0,0,0.00225563909774436,0,0,0.00601503759398496,0,0,0,0,0,0,0,0.00601503759398496,0.00300751879699248,0,0,0,0,0,0,0,0
"116pre",0.0236486486486486,0.402027027027027,0.173423423423423,0,0,0.0574324324324324,0.0101351351351351,0,0,0,0.0382882882882883,0,0,0,0,0.0112612612612613,0,0.0202702702702703,0.0844594594594594,0,0,0,0,0,0,0.00563063063063063,0.0045045045045045,0.0101351351351351,0,0,0.0123873873873874,0,0,0,0,0,0,0,0,0,0,0,0,0.00675675675675676,0.0213963963963964,0,0,0,0,0,0,0,0,0,0.00225225225225225,0.0247747747747748,0.00563063063063063,0.0045045045045045,0,0,0,0.0123873873873874,0,0,0,0,0,0,0,0,0,0.0495495495495495,0,0,0,0,0.00563063063063063,0,0,0,0,0,0,0,0,0,0,0,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118pre",0.0989355040701315,0.154038822792736,0.0569818409517846,0,0,0,0.00751408891671885,0,0,0,0.00751408891671885,0,0.0050093926111459,0,0,0,0,0.063243581715717,0,0.00876643706950532,0,0.00563556668753914,0,0,0,0.180338134001252,0.0194113963681904,0.0100187852222918,0,0.0118973074514715,0.0156543519098309,0,0.050093926111459,0,0.0112711333750783,0,0.00313087038196619,0,0.00563556668753914,0.00313087038196619,0,0,0,0,0,0.00250469630557295,0.00375704445835942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144020037570445,0,0.105197244834064,0,0,0,0.0663744520976832,0,0.00626174076393237,0,0,0,0.010644959298685,0.00563556668753914,0,0,0,0,0,0.0100187852222918,0.00939261114589856,0,0,0,0,0,0.00313087038196619,0,0,0.00563556668753914,0,0,0,0,0,0,0.0112711333750783,0,0,0,0,0,0,0.00814026299311208,0,0.00438321853475266,0,0.00375704445835942,0,0,0,0,0.00563556668753914,0,0,0,0,0,0.00375704445835942,0,0,0,0,0,0,0,0,0,0.00187852222917971,0,0
"119pre",0,0.225414364640883,0.12817679558011,0.0740331491712707,0.0419889502762431,0,0.0110497237569061,0.0342541436464088,0,0,0.0408839779005525,0,0,0,0.00662983425414365,0,0.00662983425414365,0.0132596685082873,0.0165745856353591,0,0.00552486187845304,0,0,0,0,0.158011049723757,0,0.0209944751381215,0,0,0.0143646408839779,0,0,0,0.0552486187845304,0,0.025414364640884,0.0110497237569061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110497237569061,0,0,0,0,0,0,0.0143646408839779,0.0110497237569061,0,0.00662983425414365,0.0519337016574586,0,0,0,0,0,0,0,0,0.00662983425414365,0,0.00441988950276243,0,0,0,0,0,0,0,0,0.00441988950276243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123pre",0,0,0,0,0,0,0.06744379683597,0.0316402997502082,0,0,0,0,0,0,0.0424646128226478,0.0166527893422148,0,0.0491257285595337,0.08992506244796,0,0.019150707743547,0,0.0624479600333055,0,0,0.00499583680266445,0,0.00915903413821815,0,0.0399666944213156,0,0,0,0,0,0,0,0.0108243130724396,0,0.0133222314737719,0.0274771024146545,0.00832639467110741,0,0.115736885928393,0.17985012489592,0,0,0,0,0.0116569525395504,0,0,0,0,0.00499583680266445,0,0,0,0.0124895920066611,0,0,0.00333055786844296,0,0,0,0,0,0,0.0499583680266444,0,0,0,0,0,0.00249791840133222,0.0349708576186511,0,0.00333055786844296,0,0,0.0199833472106578,0,0,0,0,0,0,0,0.00999167360532889,0,0,0,0,0.0141548709408826,0.00249791840133222,0.0174854288093256,0.00582847626977519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416319733555371,0,0.00666111573688593,0,0,0,0,0.00499583680266445,0,0.00249791840133222,0,0,0,0,0,0,0,0,0
"124pre",0,0,0.0128440366972477,0,0.343730886850153,0.0036697247706422,0.0055045871559633,0,0.00978593272171254,0,0,0,0,0.209785932721712,0.00428134556574924,0.00917431192660551,0.0103975535168196,0.00978593272171254,0.0055045871559633,0.0177370030581039,0.0103975535168196,0,0,0,0,0,0,0.00611620795107034,0,0,0.0434250764525993,0,0.0018348623853211,0,0,0,0,0,0.0140672782874618,0,0.00856269113149847,0,0,0.0116207951070336,0.00244648318042813,0,0,0,0,0,0,0,0.0152905198776758,0,0.00244648318042813,0,0,0,0,0,0,0,0,0.0318042813455657,0.00428134556574924,0.0146788990825688,0.0262996941896024,0,0.00795107033639144,0.0214067278287462,0,0,0,0.0110091743119266,0.00611620795107033,0.037920489296636,0,0,0.0110091743119266,0.0159021406727829,0,0,0,0,0,0,0.00611620795107034,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0,0.00305810397553517,0,0,0,0,0,0,0.00795107033639144,0,0,0.00672782874617737,0,0,0,0,0,0,0,0,0.00428134556574924,0,0,0,0,0,0,0.00244648318042813,0.00244648318042813,0,0,0,0,0.0018348623853211,0
